context,emotion
   冬奥 事 冰壶 比赛  充满 尖叫  摩擦 O    冬奥 事 冰壶 比赛  充满 尖叫  摩擦,0
包头 疫情 北京 冬奥 令人 一生 难忘     刷到 家门口  疫情,0
肖战 期待 冬奥 赛场    抹 中国 红 加油 加油,1
北京 冬奥会 闭幕式 冬奥 再见,0
北京 冬奥会 闭幕式 期待 下次 冬奥,1
  冬奥 开幕式 骂 偷国 选手 想 美 疫情 思考 热带 国家    震撼  中国 魂 狠狠 燃烧  帅哥  美女 狠 夸一波 emo 老师,-1
今年冬天  恨不能  国内  想  环球 影城 想  yyqx  电影 更想  冬奥   疫情 真的 真的  想  现场   ysjx 比赛 ,-1
    冬奥 黑 那下 一届 米兰 极有   牌   不到,-1
我二改   面目全非   不行  一帧  冬奥   退回  b 站 审核  累 猝死    说 b 站   发 冬奥  相关 视频   搞  打卡 活动 ,-1
肖战 肖战 手绘 雪容 融为 冬奥 健儿 加油,1
暗 鲨  垃圾 导播 表白 北京 冬奥  花滑 运动员 这场 盛大 聚会  谢幕  春天  前奏,1
尬 黑  吃 豆包 尬 黑 冬奥   嗨   理会   国际奥委会 欢迎  尬 黑 北京 冬奥会  外 媒来 中国  走走看看 吃点   韭菜 盒子 豆沙包 O  尬 黑 北京 冬奥会  外媒  尝个 豆沙包  O  尬 黑 北京 冬奥会  外媒  尝个 豆沙包 ,-1
冬奥 盛会  中国式 浪漫 可恶  疫情 看不到 帅哥   脸,-1
  全国 喜迎 冬奥 开幕     一点  冬奥  激情    明明      喜欢       一种 世界  喧哗     关系  感受,-1
多学 一门 语言    世界   参加 天 奥运 热词 打卡   早道  冬奥 加油,1
立春 邂逅 冬奥 冰雪 之约   未来 ㅂ و 冬奥  立春      兆头 ,1
肖战 Happytime ᵕ ɴ ɪ ᴄ ᴇ 赏花 赏月 闹元宵 肖战 画画  认真  样子 肖战 手绘 雪容 融为 冬奥 健儿 加油 肖战 手绘 雪容融,1
联通 大国 实力 相约 冬奥 盛会 见证 美好 时刻 联通  保障 北京 冬奥 精彩 呈现 请 收 这份 冬奥 观赛 日历 登录 中国联通 APP 查看   精彩     冬奥 健儿 加油 O 网页 链接,1
肖战 今日 立春 冬奥 开幕 xz 肖战 冬奥 形象大使 全能 战士 北京 冬奥 全项 冲金 加油 期待 奥运健儿  加油 xzxzggxfx,1
男子 冰球 中国 vs 美国 我国  男子 冰球 第一次 登上 冬奥     零的突破  排名     不用 太 在意 打出 风采  出血性 就行,1
 逼 疫情 整   戴 口罩  影响  冬奥 开幕式 看美人 垃圾 话,-1
北京 冬奥 今晚 闭幕 运动员  出发  鸟巢  推上  闭幕式 话题  ClosingCeremony 奥林匹克 官 推  发布  闭幕式 海报   刷 推      外国 垃圾   词条 里 刷 抵制 北京 冬奥  闭幕式 酸鸡 ,-1
